"Rank","Name","Symbol","employees_count","price (INR)","country"
"288","Geojit Financial Services","GEOJITFSL.NS","2568","137.94","India"
"289","Gabriel India","GABRIEL.NS","2556","458.35","India"
"290","Greenply","GREENPLY.NS","2549","378.5","India"
"291","Cera Sanitaryware","CERA.NS","2523","7899.65","India"
"292","Time Technoplast","TIMETECHNO.NS","2521","394.85","India"
"293","Shalby","SHALBY.NS","2490","263.5","India"
"294","ReNew Power","RNW","2481","496.8537","India"
"295","V-Guard Industries","VGUARD.NS","2477","440.1","India"
"296","LIC Housing Finance","LICHSGFIN.NS","2467","619.5","India"
"297","DLF","DLF.NS","2417","846.6","India"
"298","Mirza International","MIRZAINT.NS","2409","42.73","India"
"299","Prakash Industries","PRAKASH.NS","2404","169.26","India"
"300","West Coast Paper Mills","WSTCSTPAPR.NS","2386","611.25","India"
"301","Poonawalla Fincorp","POONAWALLA.NS","2384","380.7","India"
"302","Filatex India","FILATEX.NS","2383","57.86","India"
"303","Coffee Day Enterprises","COFFEEDAY.NS","2376","36.14","India"
"304","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","2371","206.07","India"
"305","Dollar Industries","DOLLAR.NS","2323","545.55","India"
"306","JSW Energy","JSWENERGY.NS","2310","706.7","India"
"307","Lumax Industries","LUMAXIND.NS","2281","2466.9","India"
"308","Cantabil Retail India","CANTABIL.NS","2278","237.14","India"
"309","Greenlam Industries","GREENLAM.NS","2249","509.15","India"
"310","East India Distilleries Parry","EIDPARRY.NS","2230","812.9","India"
"311","Colgate-Palmolive India","COLPAL.NS","2221","3689.65","India"
"312","Wheels India","WHEELS.NS","2221","743.55","India"
"313","Sheela Foam","SFL.NS","2221","913.1","India"
"314","MPS Limited","MPSLTD.NS","2210","2092.3","India"
"315","Crompton Greaves Consumer Electricals","CROMPTON.NS","2190","430.85","India"
"316","Jindal Stainless (Hisar)","JSLHISAR.NS","2190","570","India"
"317","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","2181","15304.8","India"
"318","Grindwell Norton","GRINDWELL.NS","2178","2416.5","India"
"319","Sanofi India Limited","SANOFI.NS","2174","6915.1","India"
"320","Knr Constructions","KNRCON.NS","2173","318.4","India"
"321","Carborundum Universal","CARBORUNIV.NS","2160","1467.95","India"
"322","RITES","RITES.NS","2154","313.6","India"
"323","Craftsman Automation","CRAFTSMAN.NS","2154","6228.1","India"
"324","APL Apollo","APLAPOLLO.NS","2137","1571.7","India"
"325","Indian Metals &amp; Ferro Alloys","IMFA.NS","2128","706.75","India"
"326","Texmaco Rail &amp; Engineering","TEXRAIL.NS","2114","196.37","India"
"327","Ramkrishna Forgings","RKFORGE.NS","2112","999.3","India"
"328","Skipper Limited","SKIPPER.NS","2100","548.1","India"
"329","JBM Auto","JBMA.NS","2063","1774.55","India"
"330","MM Forgings","MMFL.NS","2054","571.25","India"
"331","Ashoka Buildcon","ASHOKA.NS","2030","251.64","India"
"332","Bodal Chemicals","BODALCHEM.NS","2025","82.91","India"
"333","VA Tech Wabag","WABAG.NS","2000","1562.45","India"
"334","Jindal Worldwide","JINDWORLD.NS","1979","313.9","India"
"335","Voltas","VOLTAS.NS","1938","1789.45","India"
"336","KSB ltd","KSB.NS","1937","997.8","India"
"337","Hikal","HIKAL.NS","1906","340","India"
"338","Greenpanel Industries","GREENPANEL.NS","1891","398.9","India"
"339","Somany Ceramics","SOMANYCERA.NS","1888","720.25","India"
"340","Chalet Hotels","CHALET.NS","1853","890","India"
"341","Tejas Networks","TEJASNET.NS","1843","1189.5","India"
"342","Monte Carlo Fashions","MONTECARLO.NS","1806","840.1","India"
"343","Nucleus Software Exports","NUCLEUS.NS","1782","1299.6","India"
"344","Solar Industries India","SOLARINDS.NS","1781","11318.4","India"
"345","Sequent Scientific","SEQUENT.NS","1771","192.72","India"
"346","Jindal Stainless","JSL.NS","1761","754.45","India"
"347","Dixon Technologies","DIXON.NS","1755","15143.6","India"
"348","Hyderabad Industries Limited","HIL.NS","1745","2848","India"
"349","Jindal Poly Films","JINDALPOLY.NS","1740","817.55","India"
"350","Graphite India","GRAPHITE.NS","1721","579.05","India"
"351","JTEKT India","JTEKTINDIA.NS","1719","175.94","India"
"352","Deepak Nitrite","DEEPAKNTR.NS","1694","2829.6","India"
"353","Nectar Lifesciences","NECLIFE.NS","1669","39.09","India"
"354","Galaxy Surfactants","GALAXYSURF.NS","1668","2931.1","India"
"355","Indian Telephone Industries","ITI.NS","1665","248.25","India"
"356","Prince Pipes And Fittings","PRINCEPIPE.NS","1665","546.95","India"
"357","HBL Power Systems","HBLPOWER.NS","1663","604.7","India"
"358","SKF India","SKFINDIA.NS","1662","5413.2","India"
"359","Marico","MARICO.NS","1657","685.5","India"
"360","Sumitomo Chemical
 India","SUMICHEM.NS","1649","545.1","India"
"361","Kewal Kiran Clothing","KKCL.NS","1648","666.25","India"
"362","Sandhar","SANDHAR.NS","1609","574.45","India"
"363","Adani Green Energy","ADANIGREEN.NS","1597","1792.2","India"
"364","Suzlon","SUZLON.NS","1592","74.39","India"
"365","Finolex Cables","FINCABLES.NS","1589","1298.15","India"
"366","Parag Milk Foods","PARAGMILK.NS","1572","227.29","India"
"367","Rico Auto Industries","RICOAUTO.NS","1558","107.91","India"
"368","Neuland Laboratories","NEULANDLAB.NS","1554","14247.6","India"
"369","Gujarat Alkalies and Chemicals","GUJALKALI.NS","1538","875.3","India"
"370","Gallantt Ispat","GALLISPAT.NS","1516","64.9","India"
"371","Suprajit Engineering","SUPRAJIT.NS","1514","505.4","India"
"372","Indorama Synthetics","INDORAMA.NS","1501","47.46","India"
"373","Chennai Petroleum","CHENNPETRO.NS","1486","909","India"
"374","Hindustan Copper","HINDCOPPER.NS","1476","315.85","India"
"375","Aarti Drugs","AARTIDRUGS.NS","1450","509.9","India"
"376","Sasken Technologies","SASKEN.NS","1443","1706.8","India"
"377","Asian Granito India","ASIANTILES.NS","1440","78.95","India"
"378","Apar Industries","APARINDS.NS","1428","10428.4","India"
"379","JCI Hitachi India","JCHAC.NS","1427","2560.85","India"
"380","SJVN","SJVN.NS","1418","120.19","India"
"381","Marksans Pharma","MARKSANS.NS","1412","289.15","India"
"382","GE Power India","GEPIL.NS","1405","404.05","India"
"383","Amber Enterprises India","AMBER.NS","1397","5019.85","India"
"384","Orient Paper Mills","ORIENTPPR.NS","1394","46.82","India"
"385","The Tinplate Company Of India","TINPLATE.NS","1388","430.5","India"
"386","Kirloskar Ferrous Industries","KIRLFER.NS","1385","460.05","India"
"387","Finolex Industries","FINPIPE.NS","1379","299.45","India"
"388","NBCC India","NBCC.NS","1367","114.06","India"
"389","BASF India","BASF.NS","1363","8168.25","India"
"390","Indian Railway Catering & Tourism","IRCTC.NS","1363","889.2","India"
"391","Container Corporation of India","CONCOR.NS","1359","893.9","India"
"392","Bayer Crop Science","BAYERCROP.NS","1321","6713.85","India"
"393","Reliance Power","RPOWER.NS","1305","44.23","India"
"394","Kuantum Papers","KUANTUM.NS","1304","137.7","India"
"395","AIA Engineering","AIAENG.NS","1287","4074.35","India"
"396","Sudarshan Chemical","SUDARSCHEM.NS","1285","1201.1","India"
"397","Orient Cement","ORIENTCEM.NS","1275","295.75","India"
"398","RPG Life Sciences","RPGLIFE.NS","1270","2806.9","India"
"399","Kellton Tech Solutions","KELLTONTEC.NS","1269","146.99","India"
"400","Elgi Equipments","ELGIEQUIP.NS","1258","671.6","India"
"401","Timken India","TIMKEN.NS","1256","3733.3","India"
"402","NACL Industries","NACLIND.NS","1254","53.14","India"
"403","Puravankara","PURVA.NS","1248","394.45","India"
"404","Schneider Electric Infrastructure","SCHNEIDER.NS","1232","860.45","India"
"405","360 One Wam","360ONE.NS","1226","1056.9","India"
"406","Dhampur Sugar Mills","DHAMPURSUG.NS","1213","213.59","India"
"407","Vaibhav Global","VAIBHAVGBL.NS","1199","300.65","India"
"408","Kaveri Seed","KSCL.NS","1198","935.65","India"
"409","Radico Khaitan","RADICO.NS","1196","2150.7","India"
"410","Praj Industries","PRAJIND.NS","1192","772.4","India"
"411","Action Construction Equipment","ACE.NS","1184","1343.85","India"
"412","PCBL Limited","PCBL.NS","1178","508.6","India"
"413","Accelya","ACCELYA.NS","1177","1767.85","India"
"414","Rupa Company","RUPA.NS","1152","287.35","India"
"415","India Glycols","INDIAGLYCO.NS","1151","1470.5","India"
"416","Cosmo First","COSMOFIRST.NS","1148","766.15","India"
"417","Hindustan Media Ventures","HMVL.NS","1146","94.1","India"
