"Rank","Name","Symbol","earnings_ttm","price (INR)","country"
"128","Cummins India","CUMMINSIND.NS","281712000","3614.15","India"
"129","East India Distilleries Parry","EIDPARRY.NS","275168000","812.9","India"
"130","Divis Laboratories","DIVISLAB.NS","273087000","6142.25","India"
"131","Mphasis","MPHASIS.NS","272094000","2876.35","India"
"132","Poonawalla Fincorp","POONAWALLA.NS","271405000","380.7","India"
"133","DLF","DLF.NS","268255000","846.6","India"
"134","Karur Vysya Bank","KARURVYSYA.NS","267002000","199.04","India"
"135","GMR Group","GMRINFRA.NS","266136000","88.42","India"
"136","Trent Limited","TRENT.NS","265232000","8234.95","India"
"137","ABB India","ABB.NS","259981000","8553.7","India"
"138","AU Small Finance Bank","AUBANK.NS","258750000","690.4","India"
"139","Balkrishna Industries","BALKRISIND.NS","258223000","3023.4","India"
"140","Coromandel","COROMANDEL.NS","257245000","1638.95","India"
"141","Chambal Fertilisers","CHAMBLFERT.NS","250615000","497.5","India"
"142","SBI Life Insurance","SBILIFE.NS","250586000","1735.05","India"
"143","Phoenix Mills","PHOENIXLTD.NS","248714000","1628.95","India"
"144","PI Industries","PIIND.NS","246078000","4523.6","India"
"145","Natco Pharma","NATCOPHARM.NS","239737000","1436.25","India"
"146","Marico","MARICO.NS","237112000","685.5","India"
"147","Jindal Stainless (Hisar)","JSLHISAR.NS","232600000","570","India"
"148","Havells India","HAVELLS.NS","230470000","1938.5","India"
"149","Indian Hotels Company","INDHOTEL.NS","229611000","708.55","India"
"150","Colgate-Palmolive India","COLPAL.NS","228904000","3689.65","India"
"151","Apollo Hospitals","APOLLOHOSP.NS","226341000","6983.4","India"
"152","Adani Green Energy","ADANIGREEN.NS","226124000","1792.2","India"
"153","Redington India","REDINGTON.NS","225915000","184.3","India"
"154","United Spirits","UNITDSPR.BO","224624000","1520.3","India"
"155","Bharat Forge","BHARATFORG.NS","223839000","1492.35","India"
"156","L&amp;T Technology Services","LTTS.NS","222992000","5234.2","India"
"157","SRF Limited","SRF.NS","222905000","2348.75","India"
"158","360 One Wam","360ONE.NS","221672000","1056.9","India"
"159","Reliance Infrastructure","RELINFRA.NS","221483000","284.65","India"
"160","Tube Investments of India","TIINDIA.NS","218629000","4225.65","India"
"161","SJVN","SJVN.NS","215367000","120.19","India"
"162","Yes Bank","YESBANK.NS","211545000","21.4","India"
"163","Tata Communications","TATACOMM.NS","211432000","1963.75","India"
"164","HDFC Life","HDFCLIFE.NS","209158000","723.85","India"
"165","Container Corporation of India","CONCOR.NS","209024000","893.9","India"
"166","Gujarat Gas","GUJGASLTD.NS","206574000","600.1","India"
"167","JK Cement","JKCEMENT.NS","206318000","4238.75","India"
"168","Indiabulls Housing Finance","IBULHSGFIN.NS","202846000","164.4","India"
"169","Abbott India","ABBOTINDIA.NS","201259000","28808.2","India"
"170","Tata Consumer Products","TATACONSUM.NS","198616000","1113.1","India"
"171","Karnataka Bank","KTKBANK.NS","195902000","228.2","India"
"172","Berger Paints","BERGEPAINT.NS","194547000","571.55","India"
"173","Indian Railway Catering & Tourism","IRCTC.NS","193625000","889.2","India"
"174","Mahanagar Gas","MGL.NS","193533000","1834","India"
"175","Persistent Systems","PERSISTENT.NS","190805000","5469.55","India"
"176","WNS","WNS","189537000","4005.0948","India"
"177","South Indian Bank","SOUTHBANK.NS","184121000","23.86","India"
"178","Patanjali Foods","PATANJALI.NS","178106000","1743.5","India"
"179","Supreme Industries","SUPREMEIND.NS","177538000","5224.4","India"
"180","AIA Engineering","AIAENG.NS","175031000","4074.35","India"
"181","Godrej Properties","GODREJPROP.NS","170599000","3014.25","India"
"182","Escorts Kubota","ESCORTS.NS","170069000","3937.95","India"
"183","Solar Industries India","SOLARINDS.NS","169206000","11318.4","India"
"184","RBL Bank","RBLBANK.NS","168719000","204.41","India"
"185","Star Health and Allied Insurance Company","STARHEALTH.NS","167271000","547.6","India"
"186","Max Healthcare Institute","MAXHEALTH.NS","166064000","939.8","India"
"187","Adani Wilmar","AWL.NS","165662000","337.45","India"
"188","New India Assurance","NIACL.NS","163973000","209.68","India"
