"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"398","Sterling Tools","STERTOOLS.NS","797","574.65","India"
"399","Tejas Networks","TEJASNET.NS","794","1189.5","India"
"400","Reliance Infrastructure","RELINFRA.NS","793","284.65","India"
"401","Sudarshan Chemical","SUDARSCHEM.NS","782","1201.1","India"
"402","Campus Activewear","CAMPUS.NS","779","315.5","India"
"403","DCM Shriram","DCMSHRIRAM.NS","774","1018.25","India"
"404","Gabriel India","GABRIEL.NS","770","458.35","India"
"405","Kokuyo Camlin","KOKUYOCMLN.NS","763","182.81","India"
"406","Kellton Tech Solutions","KELLTONTEC.NS","760","146.99","India"
"407","Dalmia Bharat","DALBHARAT.NS","752","1872.95","India"
"408","United Breweries","UBL.NS","747","2085.95","India"
"409","Somany Ceramics","SOMANYCERA.NS","741","720.25","India"
"410","Edelweiss Financial Services","EDELWEISS.NS","735","127.87","India"
"411","SML Isuzu","SMLISUZU.NS","734","1835.4","India"
"412","Tata Motors","TATAMOTORS.NS","729","930.7","India"
"413","ReNew Power","RNW","728","496.8537","India"
"414","Gokaldas Exports","GOKEX.NS","720","932.15","India"
"415","CEAT","CEATLTD.NS","714","3010.7","India"
"416","Blue Dart Express","BLUEDART.NS","711","8473.2","India"
"417","Cosmo First","COSMOFIRST.NS","707","766.15","India"
"418","Aarti Industries","AARTIIND.NS","707","529.2","India"
"419","Zee Entertainment","ZEEL.NS","699","130.15","India"
"420","Blue Star","BLUESTARCO.NS","695","2019.3","India"
"421","Hathway","HATHWAY.NS","686","20.09","India"
"422","Religare","RELIGARE.NS","685","275","India"
"423","Apar Industries","APARINDS.NS","683","10428.4","India"
"424","DMart","DMART.NS","682","4572.7","India"
"425","Radio City","RADIOCITY.NS","681","15.73","India"
"426","Strides Pharma","STAR.NS","680","1559.45","India"
"427","Nectar Lifesciences","NECLIFE.NS","679","39.09","India"
"428","Kalpataru Power Transmission","KALPATPOWR.NS","677","522.85","India"
"429","Kirloskar Ferrous Industries","KIRLFER.NS","670","460.05","India"
