"Rank","Name","Symbol","pe_ratio_ttm","price (INR)","country"
"360","Kokuyo Camlin","KOKUYOCMLN.NS","70.3211","182.81","India"
"361","Wendt India","WENDT.NS","70.7643","14724.2","India"
"362","Cummins India","CUMMINSIND.NS","70.7821","3614.15","India"
"363","Grindwell Norton","GRINDWELL.NS","71.302","2416.5","India"
"364","Patanjali Foods","PATANJALI.NS","71.3132","1743.5","India"
"365","Procter &amp; Gamble India","PGHH.NS","71.79","16634.9","India"
"366","Prestige Group","PRESTIGE.NS","72.3391","1854.5","India"
"367","Yes Bank","YESBANK.NS","72.3421","21.4","India"
"368","KEI Industries","KEI.NS","72.4854","4575.95","India"
"369","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","72.6713","15304.8","India"
"370","Himatsingka Seide","HIMATSEIDE.NS","72.6875","147.55","India"
"371","Supreme Industries","SUPREMEIND.NS","72.7802","5224.4","India"
"372","BOSCH India","BOSCHLTD.NS","73.8699","38486.8","India"
"373","EIH Limited","EIHOTEL.NS","74.1772","430.2","India"
"374","Samvardhana Motherson","MOTHERSON.NS","75.1403","212.82","India"
"375","Dollar Industries","DOLLAR.NS","75.3452","545.55","India"
"376","3M India","3MINDIA.NS","75.4495","33995","India"
"377","Godrej","GODREJCP.NS","75.5099","1315.7","India"
"378","Timken India","TIMKEN.NS","75.572","3733.3","India"
"379","Max Healthcare Institute","MAXHEALTH.NS","75.9452","939.8","India"
"380","Graphite India","GRAPHITE.NS","76.2913","579.05","India"
"381","Fortis Healthcare","FORTIS.NS","76.3816","600.3","India"
"382","JSW Holdings","JSWHL.NS","77.12","8974.75","India"
"383","KFin Technologies","KFINTECH.NS","77.3138","1044.1","India"
"384","United Spirits","UNITDSPR.BO","78.0524","1520.3","India"
"385","Tube Investments of India","TIINDIA.NS","78.1001","4225.65","India"
"386","Vedant Fashions","MANYAVAR.NS","78.5823","1320.05","India"
"387","Apollo Pipes","APOLLOPIPE.NS","78.6174","568.5","India"
"388","Max Financial Services","MFSL.NS","79.4267","1185.55","India"
"389","Tata Consumer Products","TATACONSUM.NS","79.5426","1113.1","India"
"390","Action Construction Equipment","ACE.NS","79.9856","1343.85","India"
"391","Campus Activewear","CAMPUS.NS","80.023","315.5","India"
"392","UNO Minda","UNOMINDA.NS","80.1721","985.75","India"
"393","India Tourism Development Corp","ITDC.NS","81.9945","658.1","India"
"394","Neuland Laboratories","NEULANDLAB.NS","82.8639","14247.6","India"
"395","Ipca Laboratories","IPCALAB.NS","83.4615","1655.05","India"
"396","JK Cement","JKCEMENT.NS","83.733","4238.75","India"
"397","Colgate-Palmolive India","COLPAL.NS","83.9742","3689.65","India"
"398","N.B.I. Industrial Finance","NBIFIN.NS","85.662","2388.3","India"
"399","Adani Energy Solutions","ADANIENSOL.NS","85.8193","976.8","India"
"400","Aether Industries","AETHER.NS","85.8942","948.5","India"
"401","Torrent Pharmaceuticals","TORNTPHARM.NS","86.4654","3497.05","India"
"402","Subros","SUBROS.NS","86.9243","680","India"
"403","V-Guard Industries","VGUARD.NS","87.0631","440.1","India"
