,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
140,Yes Bank,YESBANK.NS,India,21.4,67113.61,1645.2,12.86,211.54,27517,72.3421
141,Ashok Leyland,ASHOKLEY.NS,India,227.86,66909.5,5598.58,15.91,891.1,9603,36.6936
142,Berger Paints,BERGEPAINT.NS,India,571.55,66631.3,1340.07,14.51,194.55,3931,61.048
143,Supreme Industries,SUPREMEIND.NS,India,5224.4,66380.18,1242.28,14.29,177.54,4647,72.7802
144,Vodafone Idea,IDEA.NS,India,9.18,64053.18,5096.39,-10.21,-520.52,9370,-1.25055
145,Patanjali Foods,PATANJALI.NS,India,1743.5,63100.58,3737.09,4.76,178.11,3547,71.3132
146,Jindal Stainless,JSL.NS,India,754.45,62124.06,4539.2,10.83,491.72,1761,18.2801
147,Abbott India,ABBOTINDIA.NS,India,28808.2,61215.51,711.43,28.28,201.26,3700,57.8263
148,Schaeffler India,SCHAEFFLER.NS,India,3898.35,60932.77,911.1,16.27,148.26,2871,64.964
149,BSE,BSE.NS,India,4496.45,60910.27,164.63,45.49,74.85,485,97.4621
150,Voltas,VOLTAS.NS,India,1789.45,59210.22,1677.42,5.65,94.78,1938,289.184
151,Balkrishna Industries,BALKRISIND.NS,India,3023.4,58447.46,1183.62,21.81,258.22,3472,54.7464
152,Phoenix Mills,PHOENIXLTD.NS,India,1628.95,58233.33,488.73,50.88,248.71,96,33.1756
153,Thermax,THERMAX.NS,India,5155.25,58065.64,1139.15,10.94,124.74,4818,126.005
154,Aditya Birla Capital,ABCAPITAL.NS,India,220.84,57464.33,5150.47,36.27,569.61,30905,10.4472
155,UNO Minda,UNOMINDA.NS,India,985.75,56598.21,1757.03,9.27,162.97,9881,80.1721
156,Madras Rubber Factory,MRF.NS,India,132198.0,56066.85,3093.42,12.07,373.64,19209,44.3884
157,Tata Communications,TATACOMM.NS,India,1963.75,56015.58,2620.82,11.56,211.43,7144,52.8374
158,L&amp;T Technology Services,LTTS.NS,India,5234.2,55397.72,1177.47,18.93,222.99,21271,43.2539
159,Steel Authority of India,SAIL.NS,India,134.03,55361.5,12608.48,3.68,464.97,62181,34.3313
160,United Breweries,UBL.NS,India,2085.95,55153.56,969.62,7.47,72.52,2837,215.259
161,Nykaa,NYKAA.NS,India,192.01,54880.87,805.55,2.48,20.05,2764,2504.8
162,Container Corporation of India,CONCOR.NS,India,893.9,54464.79,1060.55,19.7,209.02,1359,45.0696
163,Mphasis,MPHASIS.NS,India,2876.35,54426.87,1614.62,16.85,272.09,24518,33.1272
164,IDFC FIRST Bank,IDFCFIRSTB.NS,India,72.37,54152.52,2826.7,15.77,445.85,27804,16.4162
165,Procter &amp; Gamble India,PGHH.NS,India,16634.9,53998.05,503.27,23.04,116.0,432,71.79
166,Petronet LNG,PETRONET.NS,India,355.15,53279.96,6541.59,9.55,625.21,519,15.1152
167,Gujarat Fluorochemicals,FLUOROCHEM.NS,India,4693.85,51603.25,509.91,11.18,57.03,2830,41.255
168,AU Small Finance Bank,AUBANK.NS,India,690.4,51333.8,937.46,27.59,258.75,29738,28.1278
169,Astral Poly Technik,ASTRAL.NS,India,1897.45,50970.63,687.81,13.23,91.04,4140,90.9212
170,Page Industries,PAGEIND.NS,India,45370.2,50605.41,551.34,17.69,97.59,23853,94.5446
171,Glenmark Pharmaceuticals,GLENMARK.NS,India,1790.65,50530.0,1423.88,6.67,94.85,15415,194.017
172,Central Bank of India,CENTRALBK.NS,India,56.96,49446.63,2193.3,13.41,294.31,31610,20.8713
173,Coforge,COFORGE.NS,India,7380.6,49228.6,1123.57,12.4,139.44,23224,64.248
174,KPIT Technologies,KPITTECH.NS,India,1789.05,48546.58,616.89,17.52,108.1,6698,97.5613
175,Motilal Oswal Financial Services,MOTILALOFS.NS,India,808.55,48429.07,680.16,79.99,544.03,11300,6.1048
176,Coromandel,COROMANDEL.NS,India,1638.95,48234.63,1550.13,16.6,257.24,5064,23.4125
177,Bank of India,BANKINDIA.NS,India,105.53,48044.33,3563.3,32.8,1168.98,50944,10.9517
178,Tata Elxsi,TATAELXSI.NS,India,7675.15,47819.33,435.6,29.59,128.94,11639,59.7655
179,SJVN,SJVN.NS,India,120.19,47232.27,333.18,64.63,215.37,1418,41.7273
180,Paytm,PAYTM.NS,India,724.5,46131.3,1097.22,-20.51,-225.01,17964,-37.4504
181,Federal Bank,FEDERALBNK.NS,India,187.55,45994.76,1549.02,42.33,655.87,12641,10.8149
182,Fortis Healthcare,FORTIS.NS,India,600.3,45320.13,844.78,14.62,123.55,13010,76.3816
183,Exide Industries,EXIDEIND.NS,India,530.5,45092.5,2024.56,8.09,163.91,5151,52.9888
184,Bharat Dynamics,BDL.NS,India,1221.95,44812.33,269.26,34.88,93.92,2662,61.7658
185,Hudco,HUDCO.NS,India,223.1,44662.39,367.06,95.83,351.76,703,25.1208
186,Honeywell Automation India,HONAUT.NS,India,50303.6,44476.07,490.22,17.72,86.89,2950,98.8416
187,Adani Wilmar,AWL.NS,India,337.45,43877.27,6290.18,2.63,165.66,2600,334.434
188,UPL,UPL.NS,India,583.05,43764.2,5126.47,-5.8,-297.87,13054,24.8593
189,APL Apollo,APLAPOLLO.NS,India,1571.7,43618.6,2146.74,5.41,116.33,2137,57.9457
190,ACC,ACC.NS,India,2312.45,43484.0,2344.29,14.24,334.04,3852,42.4854
191,Escorts Kubota,ESCORTS.NS,India,3937.95,42814.18,1040.2,16.35,170.07,3920,53.027
192,Ipca Laboratories,IPCALAB.NS,India,1655.05,42051.35,976.05,12.43,121.42,16167,83.4615
193,Apar Industries,APARINDS.NS,India,10428.4,41889.11,1955.4,6.83,133.62,1428,56.7747
194,Bank of Maharashtra,MAHABANK.NS,India,54.24,41726.73,1644.41,31.59,519.61,12977,10.6682
195,Blue Star,BLUESTARCO.NS,India,2019.3,41519.84,1226.14,6.95,85.24,2866,87.1658
196,Biocon,BIOCON.NS,India,346.15,41442.81,1710.89,24.31,415.86,15000,95.9024
197,Jubilant FoodWorks,JUBLFOOD.NS,India,629.7,41402.84,742.68,8.26,61.34,29346,174.064
198,Gujarat Gas,GUJGASLTD.NS,India,600.1,41313.7,1963.92,10.51,206.57,1034,32.3345
199,KEI Industries,KEI.NS,India,4575.95,41298.68,1006.27,10.37,104.44,0,72.4854
200,National Aluminum &amp; Alloy,NATIONALUM.NS,India,222.92,40996.1,1539.93,23.86,367.32,5525,33.0715
201,Max Financial Services,MFSL.NS,India,1185.55,40908.12,5909.35,0.97,57.49,12,79.4267
202,Deepak Nitrite,DEEPAKNTR.NS,India,2829.6,38601.41,962.22,14.85,142.93,1694,49.1585
203,360 One Wam,360ONE.NS,India,1056.9,38545.88,264.12,83.93,221.67,1226,50.6582
204,3M India,3MINDIA.NS,India,33995.0,38295.76,502.29,19.57,98.31,1132,75.4495
205,AIA Engineering,AIAENG.NS,India,4074.35,38022.0,547.05,31.99,175.03,1287,30.8395
206,Indraprastha Gas,IGL.NS,India,540.55,37838.55,1694.43,17.69,299.92,710,23.0532
207,Ola Electric Mobility,OLAELEC.NS,India,90.2,37234.11,316.74,-52.45,-166.16,0,-45.7778
208,NLC India,NLCINDIA.NS,India,266.1,36905.14,1567.68,23.66,371.15,11246,18.6114
209,Embassy Office Parks REIT,EMBASSY.BO,India,387.76,36755.54,438.81,27.95,122.67,0,42.8603
210,Aditya Birla Fashion and Retail,ABFRL.NS,India,340.25,36291.41,1708.15,-6.16,-105.29,0,-83.3827
211,Tata Investment Corporation,TATAINVEST.NS,India,7048.3,35667.0,53.63,91.76,49.21,23,97.6742
212,Punjab &amp; Sind Bank,PSB.NS,India,52.16,35386.75,460.67,23.87,109.98,8735,27.2648
213,BASF India,BASF.NS,India,8168.25,35379.06,1722.29,6.29,108.48,1363,107.995
214,Syngene International,SYNGENE.NS,India,879.9,35267.1,402.35,19.26,77.49,6847,69.3944
215,Dalmia Bharat,DALBHARAT.NS,India,1872.95,35130.55,1720.42,7.52,129.53,5945,35.4341
216,New India Assurance,NIACL.NS,India,209.68,34642.07,5279.99,3.1,163.97,13926,28.8588
217,CRISIL,CRISIL.NS,India,4711.85,34513.13,382.83,27.67,105.96,4603,55.8537
218,LIC Housing Finance,LICHSGFIN.NS,India,619.5,34076.4,1026.17,70.84,726.93,2467,8.02654
219,Bandhan Bank,BANDHANBNK.NS,India,210.26,33881.29,1577.76,25.87,408.34,61247,13.0771
220,Metro Brands,METROBRAND.NS,India,1225.6,33329.58,282.17,22.9,64.62,0,88.8335
221,Endurance Technologies,ENDURANCE.NS,India,2343.35,32962.27,1255.54,9.07,113.92,3588,59.6542
222,JK Cement,JKCEMENT.NS,India,4238.75,32752.06,1350.35,15.27,206.32,4097,83.733
223,Multi Commodity Exchange,MCX.NS,India,6410.55,32631.5,92.69,27.84,25.78,308,211.387
224,Vedant Fashions,MANYAVAR.NS,India,1320.05,32131.86,155.56,39.17,60.95,409,78.5823
225,Star Health and Allied Insurance Company,STARHEALTH.NS,India,547.6,32114.39,1731.17,9.65,167.27,0,35.5372
226,Apollo Tyres,APOLLOTYRE.NS,India,505.05,32075.78,3014.79,11.36,342.69,7835,23.9166
227,Emami,EMAMILTD.NS,India,730.25,31875.41,439.23,22.4,98.4,3205,44.752
228,CDSL,CDSL.NS,India,1478.05,30891.25,110.44,68.78,75.96,246,47.3888
229,Sun TV Network,SUNTV.NS,India,783.85,30890.35,509.65,59.98,305.74,979,16.7232
230,NBCC India,NBCC.NS,India,114.06,30796.2,1264.36,5.68,71.86,1367,57.6972
231,Hindustan Copper,HINDCOPPER.NS,India,315.85,30543.45,220.83,27.32,60.33,1476,104.392
232,Delhivery,DELHIVERY.NS,India,411.15,30473.29,1006.54,-1.18,-11.93,17256,-42.4768
233,Bayer Crop Science,BAYERCROP.NS,India,6713.85,30194.06,574.41,17.79,102.19,1321,37.5785
234,Tata Chemicals,TATACHEM.NS,India,1183.1,30140.18,1785.7,5.31,95.06,4622,13.0177
235,Whirlpool India,WHIRLPOOL.NS,India,2367.15,30047.65,874.72,5.99,52.45,2668,140.796
236,Century Textiles and Industries,CENTURYTEX.NS,India,2718.95,30028.9,515.94,12.59,64.94,2640,0.0
237,Poonawalla Fincorp,POONAWALLA.NS,India,380.7,29422.78,385.0,70.52,271.4,2384,18.8032
238,Piramal Pharma,PPLPHARMA.NS,India,221.3,29250.99,997.45,8.14,81.23,6295,-196.973
239,Dr Lal PathLabs,LALPATHLAB.NS,India,3505.95,29212.52,274.62,24.7,67.86,4099,94.8598
240,ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,India,15304.8,29029.53,451.74,14.66,66.25,2181,72.6713
241,Radico Khaitan,RADICO.NS,India,2150.7,28768.41,503.4,10.29,51.84,1196,123.904
242,Inox Wind,INOXWIND.NS,India,218.61,28502.15,244.95,14.9,36.51,913,-12.8852
243,Timken India,TIMKEN.NS,India,3733.3,28092.71,355.55,17.93,63.77,1256,75.572
244,Gland Pharma,GLAND.NS,India,1698.55,27983.95,703.25,19.05,134.04,4752,36.6333
245,Carborundum Universal,CARBORUNIV.NS,India,1467.95,27945.95,554.82,14.03,77.85,2160,59.2906
246,Crompton Greaves Consumer Electricals,CROMPTON.NS,India,430.85,27731.66,904.52,8.23,74.51,2190,58.6581
247,Global Health Limited (Medanta),MEDANTA.NS,India,1024.7,27532.66,403.77,18.72,75.61,0,62.5207
248,"Sumitomo Chemical
 India",SUMICHEM.NS,India,545.1,27208.45,352.07,20.26,71.33,1649,52.4929
249,EIH Limited,EIHOTEL.NS,India,430.2,26909.4,304.9,35.66,108.72,9105,74.1772
250,ICICI Securities,ISEC.NS,India,829.45,26877.17,679.78,46.27,314.6,0,18.3288
251,SKF India,SKFINDIA.NS,India,5413.2,26761.78,545.57,16.35,89.19,1662,47.4845
252,Grindwell Norton,GRINDWELL.NS,India,2416.5,26755.49,325.03,18.89,61.42,2178,71.302
253,KEC International,KEC.NS,India,998.7,26585.39,2422.87,5.66,137.24,7779,133.999
254,Amara Raja Batteries,ARE&M.NS,India,1406.9,25749.79,1455.24,11.21,163.26,9911,30.2711
255,Natco Pharma,NATCOPHARM.NS,India,1436.25,25724.67,506.69,47.31,239.74,4025,31.2596
256,Anant Raj,ANANTRAJ.NS,India,750.2,25719.93,196.75,24.04,47.31,204,115.985
257,Laurus Labs,LAURUSLABS.NS,India,474.15,25566.97,602.06,4.27,25.72,6007,68.1893
258,Hatsun Agro Products,HATSUN.NS,India,1145.25,25510.21,986.18,5.16,50.95,5541,108.987
